year,y
2021,1.45
2021.054,1.476
2021.108,1.503
2021.162,1.531
2021.215,1.559
2021.269,1.588
2021.323,1.618
2021.377,1.648
2021.431,1.679
2021.485,1.711
2021.538,1.743
2021.592,1.777
2021.646,1.811
2021.7,1.845
2021.754,1.881
2021.808,1.918
2021.862,1.955
2021.915,1.993
2021.969,2.032
2022.023,2.073
2022.077,2.114
2022.131,2.156
2022.185,2.199
2022.238,2.243
2022.292,2.289
2022.346,2.335
2022.4,2.383
2022.454,2.432
2022.508,2.482
2022.562,2.533
2022.615,2.586
2022.669,2.64
2022.723,2.696
2022.777,2.753
2022.831,2.811
2022.885,2.871
2022.938,2.933
2022.992,2.996
2023.046,3.061
2023.1,3.128
2023.154,3.196
2023.208,3.266
2023.262,3.339
2023.315,3.413
2023.369,3.489
2023.423,3.567
2023.477,3.648
2023.531,3.731
2023.585,3.816
2023.638,3.904
2023.692,3.994
2023.746,4.086
2023.8,4.182
2023.854,4.28
2023.908,4.381
2023.962,4.484
2024.015,4.591
2024.069,4.701
2024.123,4.815
2024.177,4.932
2024.231,5.052
2024.285,5.176
2024.338,5.304
2024.392,5.435
2024.446,5.571
2024.5,5.711
2024.554,5.855
2024.608,6.004
2024.662,6.157
2024.715,6.316
2024.769,6.479
2024.823,6.648
2024.877,6.822
2024.931,7.002
2024.985,7.187
2025.038,7.379
2025.092,7.577
2025.146,7.782
2025.2,7.993
2025.254,8.212
2025.308,8.438
2025.362,8.672
2025.415,8.914
2025.469,9.165
2025.523,9.424
2025.577,9.692
2025.631,9.97
2025.685,10.257
2025.738,10.555
2025.792,10.864
2025.846,11.184
2025.9,11.515
2025.954,11.859
2026.008,12.215
2026.062,12.585
2026.115,12.969
2026.169,13.368
2026.223,13.781
2026.277,14.211
2026.331,14.657
2026.385,15.12
2026.438,15.602
2026.492,16.103
2026.546,16.624
2026.6,17.166
2026.654,17.729
2026.708,18.316
2026.762,18.927
2026.815,19.564
2026.869,20.227
2026.923,20.918
2026.977,21.638
2027.031,22.389
2027.085,23.173
2027.138,23.99