,,,trial,trial,trial,trial,trial,trial,trial,trial,Log10_InstantTime_vs_Default,Log10_InstantTime_vs_Default,Log10_InstantTime_vs_Default,Log10_InstantTime_vs_Default,Log10_InstantTime_vs_Default,Log10_InstantTime_vs_Default,Log10_InstantTime_vs_Default,Log10_InstantTime_vs_Default,Log10_InfiniteCompute_vs_Default,Log10_InfiniteCompute_vs_Default,Log10_InfiniteCompute_vs_Default,Log10_InfiniteCompute_vs_Default,Log10_InfiniteCompute_vs_Default,Log10_InfiniteCompute_vs_Default,Log10_InfiniteCompute_vs_Default,Log10_InfiniteCompute_vs_Default
,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
n_experiments,setting,taste_level,,,,,,,,,,,,,,,,,,,,,,,,
5000,corr_all_0.7,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1.4853738362520796,0.20759524378868366,1.2531180377795301,1.3124806108999156,1.4249486268918332,1.6643281184062078,1.7870785998420986,10.0,1.5993883167627128,0.19607041086887575,1.3173547517889974,1.4371684449317876,1.611591637208417,1.6856994568598689,1.9600276223830615
5000,corr_all_0.7,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1.6454874011576077,0.1656978228036397,1.3734589636432135,1.5340515348585493,1.6204503765255276,1.7485417856917416,1.9088269608744801,10.0,1.641617294411218,0.17119258735491685,1.35710044231419,1.5460494531947104,1.6968159726982703,1.7868994497639274,1.8186716236810958
5000,corr_all_0.9,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1.3318421577038262,0.15315123506097972,1.1415606668384548,1.2131554906832507,1.3043882854633577,1.4596089468126228,1.5688175024766944,10.0,1.3571384329919522,0.16368616481201403,1.1338864948768343,1.2363237526480062,1.3577589823771699,1.4348297010343198,1.6710472501298208
5000,corr_all_0.9,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1.425666533146204,0.19023669887076594,1.222643141611924,1.3281312056735728,1.3536191105161968,1.489057903596285,1.8667277507950215,10.0,1.3850131858847174,0.11761330748942168,1.1222597060798087,1.3528165006918054,1.3823887105098671,1.469399585753305,1.5434962028917587
5000,corr_sw_compute_0.7,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1.6651966281384596,0.20681929507103483,1.3961729554700755,1.5188516625852853,1.6583858640860412,1.8146446346613065,2.0046310401858074,10.0,6.435007695733728,1.0619959071996956,4.447676392180874,6.258912343564631,6.5090868794442525,7.189308955395124,7.699652710537459
5000,corr_sw_compute_0.7,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1.690602932472385,0.1549985412827702,1.460311698958723,1.578645730476604,1.687046506611987,1.7681495076229816,2.004454385989412,10.0,8.733909507118373,1.5104635655213121,7.486534537674562,7.685519306857598,8.38082634724112,8.856375866838818,12.277714456168257
5000,current_lognormal,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1.9926680554644078,0.33195987656642906,1.6142074084678506,1.7852289933955494,1.932593310375526,2.086564888878959,2.8074903229800374,10.0,2.1423517333786166,0.34423225346509834,1.7155834350734447,1.932114908539079,2.0178345646363067,2.452348543768747,2.6804433791280258
5000,current_lognormal,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,2.635355542535634,0.29603508956074404,2.219101426208665,2.388131754688385,2.6476750022568223,2.815166443477938,3.087910741634741,10.0,2.6888635319773395,0.3092700223935855,2.324789191776521,2.440739136831685,2.6333486395912464,2.9304255371163532,3.2286088331161835
5000,power_law_sw,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,2.467872196113914,0.2859589822651042,2.03073185265052,2.3685162276668663,2.4351398157516395,2.5430769326677165,3.086421912290752,10.0,2.573000809878606,0.6123152103348452,1.8299289283672215,2.2425141088425136,2.4299902711337142,2.885479890425112,3.929794102462396
5000,power_law_sw,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,2.7846358981815063,0.4905273206943976,2.310505417019704,2.5831636251677956,2.7146446970911455,2.787505910328794,4.069692692796383,10.0,2.6978579889323093,0.6348400968312968,2.188956127764304,2.353863760202449,2.4225925648897277,2.943752257113533,4.236931112056249
50000,corr_all_0.7,Optimal from 10% of ideas (worse taste),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,1.7744952197457629,0.1301825268053133,1.6824422722497263,1.7284687459977446,1.7744952197457629,1.8205216934937811,1.8665481672417994,2.0,1.8018360866538257,0.15072523869628823,1.695257248275719,1.7485466674647723,1.8018360866538257,1.8551255058428788,1.908414925031932
50000,corr_all_0.7,Optimal from all ideas (100% visibility),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,1.9228375619287101,0.0703366473521055,1.8731020416201096,1.89796980177441,1.9228375619287101,1.9477053220830105,1.9725730822373109,2.0,2.0208050208068955,0.01712534200350133,2.008695575346081,2.014750298076488,2.0208050208068955,2.026859743537303,2.03291446626771
50000,corr_all_0.9,Optimal from 10% of ideas (worse taste),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,1.4160081246522482,0.15190913317554763,1.3085921464596482,1.362300135555948,1.4160081246522482,1.4697161137485484,1.5234241028448483,2.0,1.3323416818610943,0.2492149688444912,1.1561200874179605,1.2442308846395274,1.3323416818610943,1.4204524790826614,1.5085632763042283
50000,corr_all_0.9,Optimal from all ideas (100% visibility),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,1.4694273908631903,0.18604061607073957,1.3378768096634472,1.4036521002633187,1.4694273908631903,1.5352026814630617,1.6009779720629331,2.0,1.4161915549413164,0.0921273439164767,1.3510476853252704,1.3836196201332933,1.4161915549413164,1.4487634897493393,1.4813354245573622
50000,corr_sw_compute_0.7,Optimal from 10% of ideas (worse taste),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,1.618906485817615,0.3748927320160236,1.3538172927915337,1.4863618893045745,1.618906485817615,1.7514510823306557,1.8839956788436965,2.0,8.759356606990664,0.5510145803408423,8.369730460698996,8.56454353384483,8.759356606990664,8.9541696801365,9.148982753282334
50000,corr_sw_compute_0.7,Optimal from all ideas (100% visibility),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,1.8362301247902746,0.0124864868493926,1.8274008452658725,1.8318154850280737,1.8362301247902746,1.8406447645524757,1.8450594043146769,2.0,13.244614870376491,0.9409813374686984,12.579240585682388,12.91192772802944,13.244614870376491,13.577302012723544,13.909989155070596
50000,current_lognormal,Optimal from 10% of ideas (worse taste),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,2.475290652942947,0.3771273134193569,2.2086213722534556,2.3419560125982013,2.475290652942947,2.608625293287693,2.741959933632439,2.0,2.416297540987339,0.1884524056394512,2.283041567028765,2.3496695540080523,2.416297540987339,2.482925527966626,2.549553514945913
50000,current_lognormal,Optimal from all ideas (100% visibility),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,3.310531253215523,0.127396042454214,3.220448647699819,3.265489950457671,3.310531253215523,3.355572555973375,3.400613858731227,2.0,3.2771838684424814,0.020755926925630556,3.262507211763556,3.269845540103019,3.2771838684424814,3.2845221967819445,3.2918605251214075
50000,power_law_sw,Optimal from 10% of ideas (worse taste),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,2.734599650253081,0.03342725444071399,2.7109630119616037,2.7227813311073423,2.734599650253081,2.746417969398819,2.7582362885445577,2.0,2.401862067890824,0.0487219986883412,2.367410412225336,2.38463624005808,2.401862067890824,2.4190878957235684,2.4363137235563124
50000,power_law_sw,Optimal from all ideas (100% visibility),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,3.6129810234181443,0.2667847039928788,3.4243357501079337,3.5186583867630388,3.6129810234181443,3.7073036600732494,3.8016262967283545,2.0,3.7790252391442527,0.3506235468945719,3.5310969514914214,3.655061095317837,3.7790252391442527,3.9029893829706683,4.026953526797084
