n_experiments,setting,trial,scenario,baseline_improvement_10_percent_taste,baseline_log10_improvement_10_percent,min_time_budget_100_percent_taste,taste_speedup,log10_taste_speedup
5000,current_lognormal,0,default,116442800207.07681,11.066112640771058,0.47828581416537913,2.090800041278718,0.32031249999999994
5000,current_lognormal,0,instant_time,1.1229204535770179e+21,21.050348992418048,0.31059002236247046,3.2196784442513793,0.5078125
5000,current_lognormal,0,infinite_compute,2.986700986827161e+23,23.47519174544604,0.18768842935762192,5.32797894586564,0.7265624999999999
5000,current_lognormal,1,default,1166009124.2097273,9.066701948860759,0.4216965034285823,2.371373705661655,0.37499999999999994
5000,current_lognormal,1,instant_time,4.916809746776654e+16,16.691683403831423,0.10554496008786035,9.47463525655375,0.9765624999999998
5000,current_lognormal,1,infinite_compute,3.468758489923358e+17,17.540174063420945,0.24144182212566395,4.141784514364405,0.6171875
5000,current_lognormal,2,default,6398657715.726104,9.806088879016214,0.4293510210083482,2.329096592460546,0.3671875
5000,current_lognormal,2,instant_time,5.039063603764856e+20,20.702349840115993,0.220673406908459,4.531583637600818,0.65625
5000,current_lognormal,2,infinite_compute,3.4178334591215882e+19,19.533750897019406,0.12409377607517198,8.058421877614817,0.90625
5000,current_lognormal,3,default,100621653.03033225,8.00269144771498,0.2942727176209282,3.398208328942559,0.5312499999999999
5000,current_lognormal,3,instant_time,1.0740811079562967e+19,19.031037077832668,0.22467900918126443,4.450794062355996,0.6484375
5000,current_lognormal,3,infinite_compute,3.898550860057469e+19,19.590903204350777,0.23713737056616557,4.216965034285821,0.6249999999999999
5000,current_lognormal,4,default,88903998.97226304,7.948921296319221,0.31059002236247046,3.2196784442513793,0.5078125
5000,current_lognormal,4,instant_time,6.914835462481634e+16,16.839781850593347,0.1778279410038923,5.62341325190349,0.75
5000,current_lognormal,4,infinite_compute,4.902211475218019e+18,18.69039204223618,0.20169145547303305,4.958068241684655,0.6953125
5000,current_lognormal,5,default,30704765.223647848,7.48720578100612,0.2838735964758755,3.522694651473101,0.5468749999999999
5000,current_lognormal,5,instant_time,5.6151363711995176e+16,16.749360308155847,0.13823722273579,7.233941627366745,0.8593749999999999
5000,current_lognormal,5,infinite_compute,1.1722517999658259e+21,21.069020908260644,0.27384196342643613,3.651741272548377,0.5625
5000,current_lognormal,6,default,6785620.327333092,6.8315895561111795,0.2788126665413133,3.586637624484769,0.5546875
5000,current_lognormal,6,instant_time,1.2392863020805211e+17,17.093171649435035,0.14074646633398435,7.104974114426787,0.8515625
5000,current_lognormal,6,infinite_compute,7.748549444833568e+17,17.889220408691227,0.220673406908459,4.531583637600818,0.65625
5000,current_lognormal,7,default,475534639.62167716,8.677182157968732,0.35226946514731017,2.8387359647587544,0.45312499999999994
5000,current_lognormal,7,instant_time,2.1350040704053875e+19,19.329398707348357,0.1778279410038923,5.62341325190349,0.75
5000,current_lognormal,7,infinite_compute,2.3700033571652685e+17,17.374748961198847,0.1512472545310624,6.611690262414814,0.8203124999999999
5000,current_lognormal,8,default,3490736679.0552673,9.542917089390965,0.32781211513934594,3.0505278902670248,0.4843749999999999
5000,current_lognormal,8,instant_time,2.1992681456689126e+18,18.342278183924105,0.1910952974970441,5.232991146814945,0.7187499999999999
5000,current_lognormal,8,infinite_compute,1643255785654823.5,15.215705170040213,0.06853895838650086,14.5902421563056,1.1640624999999998
5000,current_lognormal,9,default,612154041.3817624,8.786860721008573,0.23290965924605464,4.293510210083481,0.6328124999999999
5000,current_lognormal,9,instant_time,8.805403336870782e+16,16.944749253882563,0.12188141848422895,8.204696109024992,0.9140625000000001
5000,current_lognormal,9,infinite_compute,1.5903977015645116e+21,21.201505739413292,0.21673921695684178,4.6138396827332135,0.6640625
5000,budget_0.1,0,default,18.81087445370383,1.2744089848959927,0.052329911468149484,1.9109529749704401,0.2812499999999999
5000,budget_0.1,0,instant_time,2006.238532988915,3.3023825674691367,0.018434229924091116,5.424690937011323,0.7343749999999998
5000,budget_0.1,0,infinite_compute,610157.985038825,5.785442299186406,0.03278121151393459,3.0505278902670256,0.484375
5000,budget_0.1,1,default,4.411265298922022,0.6445631775682844,0.014855080171727746,6.731703824144985,0.8281250000000001
5000,budget_0.1,1,instant_time,9388.982482745127,3.972618528786514,0.01154781984689459,8.659643233600647,0.9374999999999997
5000,budget_0.1,1,infinite_compute,18257.204990535196,4.261434291812855,0.019456400615886365,5.139696800771511,0.7109374999999999
5000,budget_0.1,2,default,44.10669562251581,1.6445045226012949,0.03219678444251379,3.105900223624705,0.4921875
5000,budget_0.1,2,instant_time,807752.360942304,5.907278236070946,0.04216965034285824,2.3713737056616546,0.3749999999999999
5000,budget_0.1,2,infinite_compute,831.7088462702595,2.9199713207763143,0.012188141848422903,8.204696109024987,0.9140624999999998
5000,budget_0.1,3,default,17.352919411104132,1.239372549874682,0.0791475543941116,1.2634629176544687,0.10156250000000008
5000,budget_0.1,3,instant_time,244290.61623347033,5.387906785040185,0.02738419634264362,3.651741272548376,0.5624999999999999
5000,budget_0.1,3,infinite_compute,5644.315773368748,3.751611302530108,0.03278121151393459,3.0505278902670256,0.484375
5000,budget_0.1,4,default,1.7619927036115826,0.2460041056720629,0.026416483203860926,3.78551524925863,0.578125
5000,budget_0.1,4,instant_time,4751.473776880287,3.67682833676022,0.026416483203860926,3.78551524925863,0.578125
5000,budget_0.1,4,infinite_compute,3064.0535014666516,3.4862963442467554,0.020908000412787203,4.7828581416537865,0.6796874999999996
5000,budget_0.1,5,default,11.453525026249618,1.0589391691076815,0.04613839682733216,2.1673921695684166,0.33593749999999983
5000,budget_0.1,5,instant_time,329142.83808788244,5.517384409594428,0.040679443210830474,2.4582440689201976,0.39062500000000006
5000,budget_0.1,5,infinite_compute,541.3763291070877,2.7334992629547825,0.011341944035027578,8.816830667755703,0.9453124999999997
5000,budget_0.1,6,default,244.90203555191826,2.3889923948645744,0.0805842187761482,1.2409377607517194,0.09374999999999993
5000,budget_0.1,6,instant_time,203782.4696456045,5.30916682116384,0.01567878843826971,6.378043838892175,0.8046874999999998
5000,budget_0.1,6,infinite_compute,139976.80743410226,5.146056083979768,0.04450794062355998,2.2467900918126436,0.35156249999999983
5000,budget_0.1,7,default,27.6322326117293,1.4414159761862255,0.03785515249258631,2.641648320386092,0.4218749999999999
5000,budget_0.1,7,instant_time,116994.50753981619,5.068165473702225,0.018768842935762198,5.327978945865638,0.7265624999999998
5000,budget_0.1,7,infinite_compute,198123.29687626238,5.296935546260021,0.04293510210083484,2.3290965924605445,0.3671874999999997
5000,budget_0.1,8,default,38.018643820098994,1.579996620894699,0.039954205589498866,2.502865431174608,0.3984375
5000,budget_0.1,8,instant_time,21735.332239103936,4.337166283059486,0.013097472643005901,7.635060803383344,0.8828124999999999
5000,budget_0.1,8,infinite_compute,37032.78677623456,4.568586394631188,0.026416483203860926,3.78551524925863,0.578125
5000,budget_0.1,9,default,5.989016182216689,0.7773554865418676,0.04216965034285824,2.3713737056616546,0.3749999999999999
5000,budget_0.1,9,instant_time,249794.56365787188,5.397582982480555,0.02942727176209283,3.398208328942558,0.5312499999999998
5000,budget_0.1,9,infinite_compute,7037.918639488355,3.8474442419499417,0.020535250264571474,4.869675251658628,0.6874999999999998
5000,budget_10,0,default,4.973398415495917e+32,32.69665325165542,2.4144182212566396,4.141784514364404,0.6171874999999999
5000,budget_10,0,instant_time,3.4725243100586e+57,57.54064529478038,1.3335214321633242,7.498942093324557,0.875
5000,budget_10,0,infinite_compute,4.0775140014926316e+57,57.610395461008586,1.4855080171727753,6.731703824144981,0.8281249999999999
5000,budget_10,1,default,1.8574799813822052e+27,27.268924141936196,1.8768842935762189,5.327978945865641,0.7265625
5000,budget_10,1,instant_time,8.319692495914117e+55,55.92010727463259,1.1970850304957301,8.35362546957826,0.9218749999999999
5000,budget_10,1,infinite_compute,2.3906040308427666e+56,56.3785076474411,0.982171889188038,10.181517217181817,1.0078125
5000,budget_10,2,default,8.719765167092452e+32,32.94050478905995,2.738419634264362,3.651741272548376,0.5624999999999999
5000,budget_10,2,instant_time,1.7582368654709503e+54,54.24507738179436,1.1757432659207112,8.50525815443996,0.9296874999999999
5000,budget_10,2,infinite_compute,2.2223331253555144e+51,51.3468091597623,0.982171889188038,10.181517217181817,1.0078125
5000,budget_10,3,default,6.469990469738513e+29,29.810903640955715,1.6548170999431817,6.042963902381327,0.7812499999999999
5000,budget_10,3,instant_time,7.0755542875540726e+50,50.84976046746091,0.9305720409296991,10.746078283213173,1.03125
5000,budget_10,3,infinite_compute,7.669640090384413e+50,50.88477498449299,0.9646616199111995,10.366329284376977,1.015625
5000,budget_10,4,default,2.1550350722771714e+33,33.33345434251183,2.5028654311746084,3.9954205589498857,0.6015624999999999
5000,budget_10,4,instant_time,6.327872412063632e+53,53.80125771396381,1.0554496008786032,9.474635256553752,0.9765624999999999
5000,budget_10,4,infinite_compute,7.728636112439006e+54,54.88810285988167,1.0000000000000002,9.999999999999998,0.9999999999999999
5000,budget_10,5,default,1.1286984601272881e+27,27.05257793254118,1.6548170999431817,6.042963902381327,0.7812499999999999
5000,budget_10,5,instant_time,1.9787095311401017e+56,56.29638204570628,1.30974726430059,7.635060803383344,0.8828124999999999
5000,budget_10,5,infinite_compute,1.2721087862920464e+52,52.10452425224491,0.9305720409296991,10.746078283213173,1.03125
5000,budget_10,6,default,6.707273479364773e+32,32.826546014430356,1.8434229924091108,5.424690937011325,0.734375
5000,budget_10,6,instant_time,2.9590559393883515e+60,60.47115317534585,1.3335214321633242,7.498942093324557,0.875
5000,budget_10,6,infinite_compute,3.786043039825815e+56,56.57818554672567,1.0746078283213176,9.305720409296988,0.9687499999999999
5000,budget_10,7,default,1.687040185364201e+27,27.227125427624138,1.8768842935762189,5.327978945865641,0.7265625
5000,budget_10,7,instant_time,3.1216096895351713e+49,49.49437860011077,1.0746078283213176,9.305720409296988,0.9687499999999999
5000,budget_10,7,infinite_compute,1.7876822089271394e+52,52.252290318052815,1.0746078283213176,9.305720409296988,0.9687499999999999
5000,budget_10,8,default,1.925559949246222e+27,27.284557044237136,1.3823722273579,7.233941627366746,0.8593749999999999
5000,budget_10,8,instant_time,2.313634554437005e+53,53.3642947619082,1.0366329284376983,9.646616199111989,0.9843749999999999
5000,budget_10,8,infinite_compute,1.431303124515318e+55,55.15573161933859,1.1757432659207112,8.50525815443996,0.9296874999999999
5000,budget_10,9,default,1.2241629832293694e+31,31.087839242977022,1.980956778550339,5.0480657166674705,0.703125
5000,budget_10,9,instant_time,3.607285264949604e+58,58.557180487784066,1.4074646633398438,7.104974114426786,0.8515624999999999
5000,budget_10,9,infinite_compute,4.923627102540922e+53,53.69228515363351,1.1547819846894585,8.65964323360065,0.9374999999999999
5000,zero_runtime,0,default,7200191.01585231,6.857344018102131,0.07773650302387758,12.863969449369746,1.109375
5000,zero_runtime,0,instant_time,180637299311896.3,14.256807431541096,0.010181517217181822,98.21718891880374,1.9921874999999998
5000,zero_runtime,0,infinite_compute,1.4603319723372856e+18,18.16445159370616,0.17465760476621184,5.725487884358378,0.7578124999999999
5000,zero_runtime,1,default,342149994.2501303,8.534216537033961,0.09474635256553754,10.55449600878603,1.0234375
5000,zero_runtime,1,instant_time,1.3380409265368811e+17,17.126469397361028,0.010181517217181822,98.21718891880374,1.9921874999999998
5000,zero_runtime,1,infinite_compute,858129686268635.9,14.933552926280818,0.10554496008786035,9.47463525655375,0.9765624999999998
5000,zero_runtime,2,default,28871268603.613564,10.460465867200588,0.20535250264571464,4.869675251658631,0.6875
5000,zero_runtime,2,instant_time,4.381245783937011e+21,21.641597617390328,0.010181517217181822,98.21718891880374,1.9921874999999998
5000,zero_runtime,2,infinite_compute,1.7151448260055469e+21,21.23430079754466,0.2996142741004364,3.3376246942920385,0.5234375
5000,zero_runtime,3,default,308756854723.13696,11.489616608163713,0.1945640061588636,5.139696800771512,0.7109374999999999
5000,zero_runtime,3,instant_time,9.784256647240012e+21,21.990527835996573,0.010181517217181822,98.21718891880374,1.9921874999999998
5000,zero_runtime,3,infinite_compute,1.3824014654842252e+20,20.14063418553078,0.1910952974970441,5.232991146814945,0.7187499999999999
5000,zero_runtime,4,default,27983911.370324567,7.446908416654329,0.0791475543941116,12.634629176544687,1.1015625
5000,zero_runtime,4,instant_time,365901219455457.94,14.56336385688178,0.010181517217181822,98.21718891880374,1.9921874999999998
5000,zero_runtime,4,infinite_compute,5.876090496077391e+16,16.769088475621352,0.13335214321633246,7.498942093324555,0.8749999999999998
5000,zero_runtime,5,default,25150258955.078735,10.400542461049312,0.3337624694292039,2.9961427410043635,0.47656249999999994
5000,zero_runtime,5,instant_time,3.4687382565016596e+19,19.540171530154634,0.010181517217181822,98.21718891880374,1.9921874999999998
5000,zero_runtime,5,infinite_compute,2.7891741956278337e+21,21.445475638625137,0.1910952974970441,5.232991146814945,0.7187499999999999
5000,zero_runtime,6,default,147738830.17489228,8.169494655869478,0.14855080171727755,6.73170382414498,0.8281249999999999
5000,zero_runtime,6,instant_time,1.0408666867280087e+19,19.01739510902452,0.010181517217181822,98.21718891880374,1.9921874999999998
5000,zero_runtime,6,infinite_compute,1.7338399586531853e+17,17.239009007626052,0.17154378963428793,5.829415347136073,0.7656249999999999
5000,zero_runtime,7,default,8585367.286389047,6.933758879233689,0.16848548794358392,5.935229272296985,0.7734374999999999
5000,zero_runtime,7,instant_time,3.8891479886156e+16,16.58985446909663,0.010181517217181822,98.21718891880374,1.9921874999999998
5000,zero_runtime,7,infinite_compute,1071610237302020.6,15.030036853856048,0.12863969449369753,7.773650302387754,0.8906249999999998
5000,zero_runtime,8,default,59800483043.69338,10.776704692054686,0.2502865431174608,3.995420558949886,0.6015625
5000,zero_runtime,8,instant_time,1.905018100875112e+20,20.279899106559057,0.010181517217181822,98.21718891880374,1.9921874999999998
5000,zero_runtime,8,infinite_compute,2.5397264766145167e+19,19.4047869465044,0.1945640061588636,5.139696800771512,0.7109374999999999
5000,zero_runtime,9,default,17193594.30522466,7.235366675043802,0.08353625469578266,11.970850304957294,1.0781249999999998
5000,zero_runtime,9,instant_time,2.462842382837357e+16,16.39143661871919,0.010181517217181822,98.21718891880374,1.9921874999999998
